Set,loss,Layer,Node,LR,Activation,loss_Func
391,0.8700231313705444,1,1,0.01,tanh,mse
392,0.506102979183197,1,1,0.01,tanh,mae
393,0.9121392965316772,0,1,0.001,relu,mse
394,0.4814394414424896,0,1,0.001,relu,mae
395,0.8702985644340515,0,1,0.001,tanh,mse
396,0.5061066150665283,0,1,0.001,tanh,mae
397,0.912139356136322,0,1,0.01,relu,mse
398,0.5076653957366943,0,1,0.01,relu,mae
399,0.8701524138450623,0,1,0.01,tanh,mse
400,0.5061010718345642,0,1,0.01,tanh,mae
